,apparent_magnitude,bayer_designation,distance,mass,name,radius,spectral_class
148,,,67.0,0.02672824,DENIS J082303.1−491201,,
149,,,35.0,0.04963816,2MASS J08251968+2115521,0.10070773999999999,
150,,,43.0,0.04581984,SDSSp J083008.12+482847.4,0.10173536999999999,
151,,,77.0,0.04391068,SDSS J083048.80+012831.1,0.09865247999999999,
152,,,23.53,0.05918396,2MASSI J0835425-081923,0.102763,
153,,,43.0,0.06109312,2MASSI J0847287-153237,0.102763,
154,,,50.0,0.047729,2MASSI J0859254-194926,0.10070773999999999,
155,,,95.0,,2MASSW J0920122+351742,,
156,,,20.0,0.04009236,2MASSI J0937347+293142,0.09659721999999998,
157,,,17.4,0.03054656,2MASS 0939−2448,0.09762484999999999,
158,,,59.0,0.04677442,2MASS J09490860-1545485,0.09865247999999999,
159,,,55.0,0.048683580000000004,2MASSI J1010148-040649,0.10070773999999999,
160,,,108.0,,2MASSI J1017075+130839,,
161,,,60.0,0.02577366,2MASS J10224821+5825453,0.14489582999999998,
162,,,53.0,0.04677442,2MASSW J1036530-344138,0.09968010999999999,
163,,,34.4,0.04009236,2MASS J1047538+212423,0.09659721999999998,
164,,,13.15,0.07350266,DEN 1048-3956,0.10995641,
165,,,6.516,0.041046940000000004,Luhman 16,0.10481826,
166,,,6.516,0.0381832,Luhman 16,0.10379063,
167,,,49.0,0.06109312,DENIS-P J1058.7−1548,0.102763,
168,,,163.0,0.00763664,Cha 110913-773444,0.18497339999999998,
169,,,554.0,0.0143187,OTS 44,,
170,,,18.2,0.03150114,2MASS J11145133−2618235,0.09865247999999999,
171,,,129.0,0.03531946,2MASS J11544223-3400390,0.1541445,
172,,,31.0,0.06109312,2MASSW J1155395-372735,0.102763,
173,,,36.0,0.04009236,2MASSI J1217110-031113,0.09659721999999998,
174,,,66.0,,DENIS-P J1228.2-1547,,
175,,,45.6,0.03913778,2M 1237+6526,0.09659721999999998,
176,,,119.0,,2MASSW J1239272+551537,,
177,,,38.0,0.044865260000000004,SDSSp J125453.90-012247.4,0.10070773999999999,
178,,,61.0,0.060138540000000004,Kelu-1,0.10070773999999999,
179,,,61.0,0.05536564,Kelu-1,0.10070773999999999,
180,,,65.0,0.048683580000000004,SDSSp J132629.82-003831.5,0.09968010999999999,
181,,,48.0,0.04200152,SDSSp J134646.45-003150.4,0.09659721999999998,
182,,,149.0,0.056320220000000004,SDSS J141659.78+500626.4,0.10173536999999999,
183,,,38.0,0.02004618,DENIS-P J142527.97-365023.4,0.13564716,
184,,,38.5,0.07254808,LHS 2924,0.10892878,
