,apparent_magnitude,bayer_designation,distance,mass,name,radius,spectral_class,gravity
29,1.69,ε Ori,"2,000",32,Alnilam,42,B0,4.941644685084918
30,1.72,"γ1,2 Vel","01,100",9.0,Gamma Velorum,6,WC8,68.10204081632654
31,1.74,α Gru,0101,4.0,Alnair,3.4,B7,94.25888002259727
32,1.77,ε UMa,0081,2.9,Alioth,4.2,A1,44.78365495858206
33,1.77,ζ Ori,01050,33,Alnitak,20,O9.7,22.473673469387755
34,1.79,α UMa,0120,4.25,Dubhe,30,G9,1.2863718820861678
35,1.80,α Per,0590,8.5,Mirfak,68,F5,0.5007503001200481
36,1.82,δ CMa,"1,600",17,Wezen,200,F8,0.1157734693877551
37,1.84,θ Sco,0270,5.7,Sargas,26,F0,2.296932737592078
38,1.85,ε Sgr,0140,3.5,Kaus Australis,6.8,B9.5,20.619130004943155
39,1.86,ε Car,0630,9.0,Avior,130,K3,0.14506943605844705
40,1.86,η UMa,0104,6.1,Alkaid,3.4,B3,143.74479203446083
41,1.90,β Aur,081,2.39,Menkalinan,2.77,A1,84.85129614670876
42,1.92,γ Gem,0109,2.8,Alhena,3.3,A1.5,70.04066640430275
43,1.96,δ Vel,0080,2.4,[2],2.9,A1,77.73835812565214
44,1.98,β CMa,0500,13.5,Mirzam,10,B1,36.77510204081632
45,1.98,α UMi,0430,5.4,Polaris,39,F8,0.9671295737229804
46,2.00,α Hya,0180,3.0,Alphard,50,K3,0.32688979591836737
47,2.23,δ Ori,01200,24,Mintaka,16.5,O9.5,24.01394276718952
48,2.42,β Peg,0196,2.1,Scheat,95,M2.5,0.06338583300356153
49,2.98,ε Aur,0653,15,Almaaz,140,F0,0.20847563515202
50,3.35,α Her,0360,2.8,Rasalgethi,280,M5,0.009728862973760933
51,3.50,τ Cet,011.9,0.783,Tau Ceti,0.893,G8,267.47239238714286
52,3.56,δ Pav,019.92,0.991,Delta Pavonis,1.22,G8,181.37361582633596
53,3.74,ε Eri,010.48,0.82,Ran,0.74,K2,407.9158032825986
54,3.83,Car,"08,900",20,V382 Carinae,485,G2,0.02316149756746146
55,4,η Car,"07,500",100,Eta Carinae,60–881,O,-1.0
56,4.07,δ Cep,0887,4.5,Delta Cephei,44.5,F5,0.6190313014487452
57,4.08,μ Cep,"06,000",19.2,Mu Cephei,972,M2,0.005535907397557407
58,4.09,υ And,044.25,1.27,Titawin,1.48,F8,157.9430091978354
59,4.1,ρ Cas,"08,154",22,Rho Cassiopeiae,636-981,G2,-1.0
60,4.82,P Cyg,"05,545",30,P Cygni,76,B1,1.4148623438294983
61,4.86,CVn,"01,000",,La Superba,129 - 342,C5,-1.0
62,4.91,Cep,"04,900",18.2,VV Cephei,"516 - 1,050",M2,-1.0
63,5.20,Cyg,011.41,0.7,61 Cygni,0.665,K5,431.1961428813709
64,5.4,Dor,0178,0.7 - 1.0,R Doradus,298,M8,-1.0
65,5.47,Oct,0281,1.59,Polaris Australis,3.74,F0,30.965210585935882
66,5.71,Bor,"04,566",0.85,R Coronae Borealis,85,G0,0.032048019207683076
67,5.88,Psc,036.1,0.76,54 Piscium,0.94,K0,234.30308293530177
68,6.57,ο Ceti,0300,1.2,Mira,370,M7,0.00238779982409326
69,6.65,Cep,"014,000",13.9,RW Cephei,"1,158",K2,-1.0
70,6.67,Mic,012.87,0.6,Lacaille 8760,0.51,M0,628.3925334839817
71,6.75,Mon,"019,896",?,V838 Monocerotis,380 - 750,M6,-1.0
72,7.25,Lib,0190,?,HD 140283,1.4,F?,-1.0
73,7.4,Peg,0130,0.8,II Pegasi,3.4,K2,18.851776004519454
74,8.05,CMa,"03,900",17,VY Canis Majoris,"1,420",M5,-1.0
75,8.3,Sgr,"025,000",100,Pistol Star,320,B3,0.2660235969387755
76,8.6,Dor,"0169,000",24,S Doradus,380,B8,0.04527559500254395
77,8.9,Sct,"05,100",7–10,UY Scuti,755,M4,-1.0
78,9.5,Oph,05.98,0.14,Barnard's Star,0.20,M4,953.4285714285714
79,10.7,Vel,06.52,0.04,Luhman 16,?,L7,-1.0
80,11.13,Cen,04.25,0.12,Proxima Centauri,0.15,M6,1452.843537414966
81,11.71,Cyg,"01,470",1.43,KIC 8462852,1.58,F3,156.0421701127174
82,12.23,Dor,"0163,000",290,R136a1,32,WN5,77.1468431122449
83,12.78,Dor,"0163,000",189,Melnick 42,21.1,O2,115.64237743344229
84,14.10,Sag,"018,134",19,WR 102,0.39,WO2,34028.633149512265
85,14.38,Dor,"0164,000",57.48,VFTS 352,14.47,O5,74.78247167955529
86,14.68,Cnc,"02,772",1.01,YBP 1194,0.99,G5,280.7185439220071
87,14.71,Oph,047.5,0.16,Gliese 1214,0.21,M4.5,988.3289370169834
88,16.6,Cyg,"05,251",50,NML Cygni,"1,640 - 2,770",M6,-1.0
89,17.30,Aql,018.72,0.075,VB 10,0.10,M8,2043.0612244897954
90,18.46,Dor,"0163,000",<20,WOH G64,"1,540 - 1,730",M5,-1.0
91,18.80,Aqr,039.6,0.089,TRAPPIST-1,0.12,M8,1683.6337868480723
92,21.05,Lep,040.3,0.07,2MASS J0523-1403,0.086,L2.5,2578.227613381751
93,25,Hya,07.27,0.003,WISE 0855−0714,?,Y2,-1.0
94,28.4,Leo,"014,400,000,000",33,Icarus,?,B?,-1.0
95,,,46.1,0.04581984,SDSS J000013.54+255418.6,0.10173536999999999,,1205.9512401720876
96,,,131.0,0.02768282,2MASS J00332386-1521309,0.14695108999999998,,349.2085137036779
97,,,28.6,0.04009236,2MASS 0036+1821,0.09659721999999998,,1170.4489691954286
98,,,40.0,0.01145496,WISEP J004701.06+680352.1,0.13359189999999999,,174.8450903095656
99,,,34.0,0.0381832,2MASS J00501994-3322402,0.09659721999999998,,1114.7133039956464
100,,,96.0,0.02768282,2MASS J00584253-0651239,0.14695108999999998,,349.2085137036779
101,,,30.0,0.02195534,CFBDS J005910.90–011401.3,,,-1.0
102,,,51.0,0.04963816,SDSSp J010752.33+004156.1,0.10070773999999999,,1333.2453957035807
103,,,163.0,0.0190916,2MASSI J0117474-340325,0.16647606,,187.6544496666957
104,,,130.0,0.0190916,2MASS J01415823-4633574,0.16544843,,189.9928003183814
105,,,65.0,,DENIS-P J020529.0−115925,,,-1.0
106,,,65.0,,DENIS-P J020529.0−115925,,,-1.0
107,,,65.0,,DENIS-P J020529.0−115925,,,-1.0
108,,,111.0,0.044865260000000004,SDSS J020742.48+000056.2,0.09968010999999999,,1230.0231625118502
109,,,152.0,0.02577366,2MASS J02411151-0326587,0.14489582999999998,,334.41399119869396
110,,,35.0,0.03150114,2MASS J02431371−2453298,0.10173536999999999,,829.0914776183103
111,,,12.578,0.0763664,Teegarden's star,0.13050900999999998,,1221.3536802164463
112,,,24.0,0.0620477,WISE J0254+0223,0.19524969999999997,,443.3687250809276
113,,,16.2,0.0763664,DEN 0255-4700,0.09968010999999999,,2093.656446828681
114,,,45.0,0.04677442,2MASS J03185403-3421292,0.09968010999999999,,1282.364573682567
115,,,80.0,0.01718244,2MASS J03264225-2102057,0.13359189999999999,,262.2676354643484
116,,,98.0,0.05154732,2MASS J03284265+2302051,0.10070773999999999,,1384.5240647691032
117,,,20.9,0.06968434,LP 944-20,0.14695108999999998,,879.0421207023616
118,,,88.0,0.07063892,2MASP J0345432+254023,0.10790115,,1652.7684802807457
119,,,380.0,0.052501900000000004,Teide 1,0.38844413999999994,,94.7846454949127
120,,,29.8,0.0190916,2MASS J03552337+1133437,0.13564716,,282.6448219153331
121,,,130.0,,DENIS-P J035726.9-441730,,,-1.0
122,,,18.6,0.0286374,2MASS J04151954−0935066,0.09762484999999999,,818.5268770724819
123,,,50.0,,SDSSp J042348.57-041403.5,,,-1.0
124,,,85.0,0.0763664,2MASS J04285096-2253227,0.11201167000000001,,1658.0433892947608
125,,,29.5,0.04581984,2MASS J04390101-2353083,0.09968010999999999,,1256.1938680972085
126,,,470.0,0.01813702,2MASS J04414489+2301513,,,-1.0
127,,,42.0,0.06109312,2MASS J04455387-3048204,0.102763,,1575.9370806568843
128,,,69.0,0.06872976,2MASS J04510093-3402150,0.10687352,,1639.1727216521772
129,,,44.0,0.06109312,2MASS J05002100+0330501,0.102763,,1575.9370806568843
130,,,64.0,0.02004618,2MASS J05012406-0010452,0.14181293999999997,,271.5313771216869
131,,,73.0,0.044865260000000004,2MASS J05160945-0445499,0.09968010999999999,,1230.0231625118502
132,,,40.0,0.06491144,2MASS J0523−1403,0.10379063,,1641.4402001744336
133,,,81.0,0.07923014,2MASS 0532+8246,,,-1.0
134,,,34.0,,2MASS J05591914-1404488,,,-1.0
135,,,34.6,0.02672824,LSR 0602+3910,0.14489582999999998,,346.7996945764234
136,,,39.0,0.05345648,2MASS J06244595-4521548,0.10173536999999999,,1406.9431135341024
137,,,65.0,0.06395686,2MASS J06411840-4322329,0.10379063,,1617.30137370128
138,,,51.0,0.0715935,DENIS-P J0652197-253450,0.10790115,,1675.1031894737291
139,,,40.0,,2MASS J07003664+3157266,,,-1.0
140,,,13.4,0.02481908,UGPS J072227.51-054031.2,0.10070773999999999,,666.6226978517903
141,,,29.6,0.03913778,2MASSI J0727182+171001,0.09659721999999998,,1142.5811365955374
142,,,25.8,0.03531946,2MASS J07290002-3954043,0.09659721999999998,,1031.1098061959726
143,,,49.0,0.041046940000000004,SDSS J074201.41+205520.5,0.09659721999999998,,1198.3168017953199
144,,,49.6,,2MASS J0746425+200032,,,-1.0
145,,,55.0,0.06777518,DENIS-P J0751164-253043,0.10584589,,1647.9453283568018
146,,,16.1,0.04200152,DENIS J081730.0-615520,0.09659721999999998,,1226.1846343952109
147,,,67.0,0.04200152,DENIS J082303.1−491201,,,-1.0
148,,,67.0,0.02672824,DENIS J082303.1−491201,,,-1.0
149,,,35.0,0.04963816,2MASS J08251968+2115521,0.10070773999999999,,1333.2453957035807
150,,,43.0,0.04581984,SDSSp J083008.12+482847.4,0.10173536999999999,,1205.9512401720876
151,,,77.0,0.04391068,SDSS J083048.80+012831.1,0.09865247999999999,,1229.0633427974562
152,,,23.53,0.05918396,2MASSI J0835425-081923,0.102763,,1526.6890468863564
153,,,43.0,0.06109312,2MASSI J0847287-153237,0.102763,,1575.9370806568843
154,,,50.0,0.047729,2MASSI J0859254-194926,0.10070773999999999,,1281.9667266380584
155,,,95.0,,2MASSW J0920122+351742,,,-1.0
156,,,20.0,0.04009236,2MASSI J0937347+293142,0.09659721999999998,,1170.4489691954286
157,,,17.4,0.03054656,2MASS 0939−2448,0.09762484999999999,,873.0953355439806
158,,,59.0,0.04677442,2MASS J09490860-1545485,0.09865247999999999,,1309.2196477625075
159,,,55.0,0.048683580000000004,2MASSI J1010148-040649,0.10070773999999999,,1307.6060611708197
160,,,108.0,,2MASSI J1017075+130839,,,-1.0
161,,,60.0,0.02577366,2MASS J10224821+5825453,0.14489582999999998,,334.41399119869396
162,,,53.0,0.04677442,2MASSW J1036530-344138,0.09968010999999999,,1282.364573682567
163,,,34.4,0.04009236,2MASS J1047538+212423,0.09659721999999998,,1170.4489691954286
164,,,13.15,0.07350266,DEN 1048-3956,0.10995641,,1656.0828894797048
165,,,6.516,0.041046940000000004,Luhman 16,0.10481826,,1017.7169608480821
166,,,6.516,0.0381832,Luhman 16,0.10379063,,965.5530589261374
167,,,49.0,0.06109312,DENIS-P J1058.7−1548,0.102763,,1575.9370806568843
168,,,163.0,0.00763664,Cha 110913-773444,0.18497339999999998,,60.800041692009444
169,,,554.0,0.0143187,OTS 44,,,-1.0
170,,,18.2,0.03150114,2MASS J11145133−2618235,0.09865247999999999,,881.7193546155663
171,,,129.0,0.03531946,2MASS J11544223-3400390,0.1541445,,404.9282776687827
172,,,31.0,0.06109312,2MASSW J1155395-372735,0.102763,,1575.9370806568843
173,,,36.0,0.04009236,2MASSI J1217110-031113,0.09659721999999998,,1170.4489691954286
174,,,66.0,,DENIS-P J1228.2-1547,,,-1.0
175,,,45.6,0.03913778,2M 1237+6526,0.09659721999999998,,1142.5811365955374
176,,,119.0,,2MASSW J1239272+551537,,,-1.0
177,,,38.0,0.044865260000000004,SDSSp J125453.90-012247.4,0.10070773999999999,,1205.048723039775
178,,,61.0,0.060138540000000004,Kelu-1,0.10070773999999999,,1615.2780755639537
179,,,61.0,0.05536564,Kelu-1,0.10070773999999999,,1487.0814029001479
180,,,65.0,0.048683580000000004,SDSSp J132629.82-003831.5,0.09968010999999999,,1334.7059848532842
181,,,48.0,0.04200152,SDSSp J134646.45-003150.4,0.09659721999999998,,1226.1846343952109
182,,,149.0,0.056320220000000004,SDSS J141659.78+500626.4,0.10173536999999999,,1482.315066044858
183,,,38.0,0.02004618,DENIS-P J142527.97-365023.4,0.13564716,,296.7770630110998
184,,,38.5,0.07254808,LHS 2924,0.10892878,,1665.5618398718852
185,,,47.0,0.056320220000000004,2MASS J14482563+1031590,0.10173536999999999,,1482.315066044858
186,,,104.0,0.010595838,CFBDSIR 1458+10,0.1541445,,121.4784833006348
187,,,104.0,0.00859122,CFBDSIR 1458+10,0.13359189999999999,,131.1338177321742
188,,,35.1,0.0715935,TVLM 513-46546,0.10790115,,1675.1031894737291
189,,,20.7,0.04200152,2MASS 1503+2525,0.09659721999999998,,1226.1846343952109
190,,,46.0,0.06586602,2MASSW J1506544+132106,0.10481826,,1633.0807046166897
191,,,23.9,0.0572748,2MASS 1507−1627,0.10173536999999999,,1507.4390502151098
192,,,89.0,,SDSS J151114.66+060742.9,,,-1.0
193,,,34.0,0.05441106,2MASSW J1515008+484742,0.10173536999999999,,1432.067097704354
194,,,67.0,0.05154732,2MASSI J1526140+204341,0.10070773999999999,,1384.5240647691032
195,,,51.0,0.060138540000000004,DENIS-P J153941.96-052042.4,0.102763,,1551.3130637716206
196,,,37.0,0.04200152,2MASS J15462718-3325111,0.09659721999999998,,1226.1846343952109
197,,,68.0,0.0286374,2MASSW J1552591+294849,0.14695108999999998,,361.2501865900116
198,,,44.0,0.06777518,2MASSW J1555157-095605,0.10584589,,1647.9453283568018
199,,,48.0,0.04009236,2MASS J16150413+1340079,0.09659721999999998,,1170.4489691954286
200,,,36.0,0.041046940000000004,SDSSp J162414.37+002915.6,0.09659721999999998,,1198.3168017953199
201,,,110.0,0.06777518,2MASS J16262034+3925190,0.10584589,,1647.9453283568018
202,,,50.0,0.04677442,2MASSW J1632291+190441,0.09968010999999999,,1282.364573682567
203,,,60.0,0.06968434,LSPM J1658+7027,0.10687352,,1661.939009452902
204,,,18.5,0.07350266,LSR J1835+3259,0.10995641,,1656.0828894797048
205,,,80.0,0.00620477,PSO J318.5−22,0.15722739,,68.37374930762306
206,,,32.1,0.04391068,2MASS J21392676+0220226,0.09865247999999999,,1229.0633427974562
207,,,35.0,0.04009236,2MASS J22282889-4310262,0.09659721999999998,,1170.4489691954286
208,,,23.2,,WISE 0005+3737,,,-1.0
209,,,24.1,,WISE 0049+2151,,,-1.0
210,,,57.7,,WISE 0138-0322,,,-1.0
211,,,20.5,,WISE 0146+4234,,,-1.0
212,,,30.0,,WISE 0148-7202,,,-1.0
213,,,28.0,,WISE 0313+7807,,,-1.0
214,,,106.3,,WISE 0316+4307,,,-1.0
215,,,54.8,,WISE 0333-5856,,,-1.0
216,,,17.7,,WISE 0350-5658,,,-1.0
217,,,19.2,,WISE 0359-5401,,,-1.0
218,,,20.0,0.00572748,WISE 0410+1502,0.12023270999999998,,107.92906809232446
219,,,35.9,0.0143187,WISE 0458+6434,0.4316046,,20.938789868421612
220,,,35.9,0.0095458,WISE 0458+6434,0.39049939999999994,,17.05264327234337
221,,,47.0,,WISE 0535-7500,,,-1.0
222,,,25.4,,WISE 0607+2429,,,-1.0
223,,,28.0,,WISE 0647-6232,,,-1.0
224,,,23.2,,WISE 0713-2917,,,-1.0
225,,,34.9,,WISE 0734-7157,,,-1.0
226,,,51.5,,WISE 0750+2725,,,-1.0
227,,,102.0,,WISE 1147-2040,,,-1.0
228,,,34.2,0.01145496,WISE 1217+1626,,,-1.0
229,,,34.2,0.00572748,WISE 1217+1626,,,-1.0
230,,,33.9,,WISE 1322-2340,,,-1.0
231,,,25.3,0.0286374,WISE 1405+5534,0.08837618,,998.8108525661368
232,,,11.1,,WISE 1506+7027,,,-1.0
233,,,20.0,,WISE 1541-2250,,,-1.0
234,,,32.6,,WISE 1614+1739,,,-1.0
235,,,50.2,,WISE 1617+1807,,,-1.0
236,,,52.2,,WISE 1622-0959,,,-1.0
237,,,50.2,,WISE 1627+3255,,,-1.0
238,,,16.3,,WISE 1639-6847,,,-1.0
239,,,28.0,,WISE 1647+5632,,,-1.0
240,,,39.5,,WISE 1653+4444,,,-1.0
241,,,20.0,,WISE 1738+2732,,,-1.0
242,,,18.9,,WISE 1741+2553,,,-1.0
243,,,28.7,0.05441106,WISE 1800+0134,,,-1.0
244,,,47.0,,WISE 1812+2721,,,-1.0
245,,,36.0,,WISE 1828+2650,,,-1.0
246,,,131.1,,WISE 1841+7000,,,-1.0
247,,,44.4,,WISE 1952+7240,,,-1.0
248,,,34.2,,WISE 2030+0749,,,-1.0
249,,,50.6,,WISE 2015+6646,,,-1.0
250,,,47.9,,WISE 2018-7423,,,-1.0
251,,,24.5,,WISE 2056+1459,,,-1.0
252,,,26.4,,WISE 2220-3628,,,-1.0
253,,,35.9,,WISE 2313-8037,,,-1.0
254,,,42.7,,WISE 2359-7335,,,-1.0
255,,,111.0,,WISEA 1101+5400,,,-1.0
256,,,120.0,0.0381832,2M1510,,,-1.0
